name,time,AccX,AccY,AccZ,MagX,MagY,MagZ,deposit,gas,id,latitude,longitude,temperature
vehicledataset,1636543352643000000,-0.22656941,-0.080813013,1.0353099,3,-21,74,0,0,1,41.7959,1.9489,28.365143
vehicledataset,1636543353643000000,-0.30872524,0.076906644,1.027253,2,-18,75,0,0,1,41.7959,1.9489,28.077606
vehicledataset,1636543354643000000,-0.33484909,-0.03295999,0.95730461,3,-18,77,0,0,1,41.79585,1.9488,28.317219
vehicledataset,1636543355643000000,-0.052735984,0.025757622,0.99624622,3,-21,76,0,0,1,41.79585,1.9488,28.029682
vehicledataset,1636543356643000000,0.026856288,0.011352886,1.0346995,5,-23,76,0,0,1,41.795817,1.9487833,28.317219
vehicledataset,1636543357643000000,0.065065462,-0.0025635548,1.0594806,8,-27,73,0,0,1,41.795817,1.9487833,28.556833
vehicledataset,1636543358643000000,0.12060915,0.01965392,0.68776513,23,-28,81,0,0,1,41.795817,1.9487667,28.221375
vehicledataset,1636543359643000000,0.10827967,-0.063966796,1.388226,51,-28,66,0,0,1,41.795817,1.9487667,28.604755
vehicledataset,1636543360643000000,-0.036988433,0.18152409,0.8948027,64,-20,60,0,0,1,41.7958,1.9487333,28.413065
vehicledataset,1636543361643000000,0.14783166,0.080446791,0.87002167,66,-3,64,0,0,1,41.7958,1.9487333,28.221375
vehicledataset,1636543362643000000,-0.11951048,0.09582812,0.96865749,55,4,72,0,0,1,41.795767,1.9487333,28.365143
vehicledataset,1636543363643000000,-0.27588733,0.016724143,1.0345775,57,7,72,0,0,1,41.795767,1.9487333,28.413065
vehicledataset,1636543364643000000,-0.051637318,0.012939848,0.99124119,54,5,75,0,0,1,41.79575,1.9487833,28.508911
vehicledataset,1636543365643000000,-0.19080172,0.01147496,1.3230384,60,5,68,0,0,1,41.79575,1.9487833,28.413065
vehicledataset,1636543366643000000,0.13147374,-0.15527818,0.87185278,58,10,68,0,0,1,41.795767,1.9488667,28.077606
vehicledataset,1636543367643000000,-0.12439344,0.0045167394,1.1222266,54,10,70,0,0,1,41.795767,1.9488667,28.221375
vehicledataset,1636543368643000000,-0.03173925,0.0072023682,0.71132542,55,6,74,0,0,1,41.795767,1.94895,28.317219
vehicledataset,1636543369643000000,-0.015137181,-0.11462752,1.0462966,58,7,66,0,0,1,41.795767,1.94895,28.077606
vehicledataset,1636543370643000000,0.11828974,-0.11633656,0.89980773,55,10,69,0,0,1,41.795783,1.9490333,28.413065
vehicledataset,1636543371643000000,0.42945647,-0.060548723,0.66103092,55,8,68,0,0,1,41.795783,1.9490333,28.221375
vehicledataset,1636543372643000000,-0.095339824,-0.048341319,0.79165014,56,8,69,0,0,1,41.795817,1.9491333,28.365143
vehicledataset,1636543373643000000,-0.14380322,-0.30457472,1.2128056,55,7,74,0,0,1,41.795817,1.9491333,28.317219
vehicledataset,1636543374643000000,0.098757897,0.21790216,0.992584,53,9,72,0,0,1,41.795867,1.9492333,28.365143
vehicledataset,1636543375643000000,-0.26770837,0.17761773,0.69399091,55,7,70,0,0,1,41.795867,1.9492333,28.17345
vehicledataset,1636543376643000000,0.009765923,-0.063722648,0.51637318,58,7,69,0,0,1,41.795867,1.9493833,28.317219
vehicledataset,1636543377643000000,-0.068117313,0.17078158,1.1324808,56,8,73,0,0,1,41.795883,1.94955,28.365143
vehicledataset,1636543378643000000,-0.34852138,0.15308084,0.74025697,54,9,73,0,0,1,41.795883,1.94955,28.365143
vehicledataset,1636543379643000000,-0.39857173,-0.00048829615,0.70644246,55,11,73,0,0,1,41.795933,1.9497333,28.508911
vehicledataset,1636543380643000000,0.01843318,0.098879971,0.95474105,54,10,72,0,0,1,41.795933,1.9497333,28.317219
vehicledataset,1636543381643000000,0.020386364,-0.083864864,0.91396832,53,10,74,0,0,1,41.795983,1.9499167,28.508911
vehicledataset,1636543382643000000,-0.10449538,-0.1777398,1.1681265,52,10,73,0,0,1,41.795983,1.9499167,28.365143
vehicledataset,1636543383643000000,-0.21594897,0.24390393,0.4476455,56,9,72,0,0,1,41.796,1.9500833,28.365143
vehicledataset,1636543384643000000,-0.16284677,-0.13293863,0.9328898,51,10,71,0,0,1,41.796,1.9500833,28.413065
vehicledataset,1636543385643000000,-0.17969298,0.023804437,1.0856044,57,8,64,0,0,1,41.796017,1.95025,28.365143
